date,N,pearson_cophenetic,taildep_cophenetic,pearson_ari_vs_prev,taildep_ari_vs_prev
2023-11-30,51,0.7896011517685405,0.7316406307496217,0.5299494963744604,0.5299494963744604
2023-12-31,51,0.7882823574835627,0.7149934598157638,0.8402718776550552,1.0
2024-01-31,50,0.7744301356131723,0.6641995120439548,1.0,0.6170220591615864
2024-02-29,49,0.795575999369512,0.7559674993074459,0.5260253938709034,1.0
2024-03-31,50,0.7391056704019994,0.7676022852548738,0.52903342366757,0.6373764892449071
2024-04-30,49,0.7507079530622464,0.7632524273906982,0.717533315913248,0.6360311618348794
2024-05-31,49,0.7661022735503112,0.7986646777835862,0.8398755739890387,0.8398755739890387
2024-06-30,50,0.7430797385677282,0.7038830313164701,0.8406504065040651,0.6373764892449071
2024-07-31,50,0.7237519577930551,0.7353200445312957,0.5280760021626631,-0.02835538752362949
2024-08-31,48,0.7036097585576702,0.7174569725726716,1.0,0.78275181040158
2024-09-30,49,0.6934787111994258,0.7322069280166178,1.0,0.8402718776550552
2024-10-31,50,0.6947737405595,0.6656284555609191,0.8398755739890387,0.6360311618348794
2024-11-30,49,0.6559149022223928,0.6369244028362318,1.0,0.637372802960222
2024-12-31,50,0.7117050583923952,0.7070936118969272,1.0,0.3604598245166928
2025-01-31,49,0.7169447183269668,0.7285578499078931,1.0,0.3672424824056302
2025-02-28,48,0.7284631600210788,0.739488554900162,0.7182817182817183,0.6367189196230839
2025-03-31,50,0.8139759358279162,0.8004677968282038,0.5260253938709034,1.0
2025-04-30,50,0.7806950334295741,0.7759145428330542,0.7196796338672768,0.2876888613507459
2025-05-31,48,0.8160433278725806,0.8115622951013014,1.0,1.0
2025-06-30,48,0.8227802049779197,0.8423638054215207,0.8398755739890387,1.0
2025-07-31,50,0.8273336862743624,0.8235192165781068,1.0,0.7839080459770115
2025-08-31,50,0.8318533412279874,0.8097754820194604,0.8402718776550552,0.3686671862821512
2025-09-30,49,0.8374839509800357,0.8005606510444179,1.0,0.8406504065040651
2025-10-31,48,0.8486243934792407,0.791688970903765,0.636026936026936,0.6360311618348794
2025-11-30,49,0.8639823680691223,0.8318743904474049,0.6353110892788301,0.7831552482715274
2025-12-31,48,0.885135510016302,0.7921358029825283,0.8398755739890387,0.8398755739890387
2026-01-31,49,0.9116570717348692,0.8452665362864181,0.7182817182817183,0.8402718776550552
2026-02-28,48,0.9197059850543066,0.8287094049517642,0.717533315913248,1.0
2026-03-31,47,0.9312895294931244,0.8576413638310061,0.8398755739890387,0.717533315913248
2026-04-30,48,0.9271739919317733,0.8618945314605754,1.0,0.8398755739890387
