date,n_eligible,n_included,included_symbols
2021-06-30,58,52,"BTCUSDT,ETHUSDT,MATICUSDT,DOGEUSDT,ADAUSDT,XRPUSDT,DOTUSDT,LINKUSDT,SOLUSDT,VETUSDT,FILUSDT,THETAUSDT,LTCUSDT,ETCUSDT,EOSUSDT,CHZUSDT,TRXUSDT,LUNAUSDT,RUNEUSDT,BCHUSDT,AAVEUSDT,UNIUSDT,XLMUSDT,FTMUSDT,SUSHIUSDT,WAVESUSDT,CRVUSDT,NEOUSDT,XMRUSDT,ZECUSDT,KAVAUSDT,ENJUSDT,ATOMUSDT,ZILUSDT,AVAXUSDT,DASHUSDT,ALGOUSDT,YFIUSDT,HBARUSDT,IOTAUSDT,NEARUSDT,XTZUSDT,EGLDUSDT,ONEUSDT,COMPUSDT,FETUSDT,MKRUSDT,FTTUSDT,SRMUSDT,SNXUSDT,MANAUSDT,BATUSDT"
2021-07-31,58,52,"BTCUSDT,ETHUSDT,DOGEUSDT,XRPUSDT,ADAUSDT,DOTUSDT,MATICUSDT,ETCUSDT,SOLUSDT,LINKUSDT,THETAUSDT,LUNAUSDT,EOSUSDT,LTCUSDT,FILUSDT,AAVEUSDT,VETUSDT,RUNEUSDT,UNIUSDT,CHZUSDT,BCHUSDT,TRXUSDT,ENJUSDT,SUSHIUSDT,COMPUSDT,ATOMUSDT,XLMUSDT,SNXUSDT,MANAUSDT,ZECUSDT,GRTUSDT,KAVAUSDT,XMRUSDT,NEOUSDT,FTMUSDT,1INCHUSDT,EGLDUSDT,DASHUSDT,CRVUSDT,WAVESUSDT,YFIUSDT,FETUSDT,FTTUSDT,XTZUSDT,NEARUSDT,AVAXUSDT,ALGOUSDT,IOTAUSDT,HBARUSDT,ZILUSDT,ONEUSDT,MKRUSDT"
2021-08-31,58,51,"BTCUSDT,ETHUSDT,ADAUSDT,XRPUSDT,DOGEUSDT,DOTUSDT,SOLUSDT,AXSUSDT,MATICUSDT,LUNAUSDT,FILUSDT,LINKUSDT,AVAXUSDT,VETUSDT,ETCUSDT,EOSUSDT,LTCUSDT,THETAUSDT,CHZUSDT,RUNEUSDT,TRXUSDT,BCHUSDT,UNIUSDT,KAVAUSDT,SUSHIUSDT,FTMUSDT,GRTUSDT,AAVEUSDT,ATOMUSDT,SANDUSDT,FTTUSDT,NEOUSDT,XLMUSDT,NEARUSDT,ENJUSDT,ALGOUSDT,EGLDUSDT,DASHUSDT,CRVUSDT,MANAUSDT,ZECUSDT,COMPUSDT,1INCHUSDT,XTZUSDT,XMRUSDT,SNXUSDT,ZILUSDT,IOTAUSDT,YFIUSDT,WAVESUSDT,FETUSDT"
2021-09-30,58,52,"BTCUSDT,ETHUSDT,SOLUSDT,ADAUSDT,DOTUSDT,AVAXUSDT,XRPUSDT,FTMUSDT,FILUSDT,LUNAUSDT,ATOMUSDT,DOGEUSDT,FTTUSDT,LINKUSDT,MATICUSDT,ALGOUSDT,LTCUSDT,EOSUSDT,TRXUSDT,AXSUSDT,NEARUSDT,XTZUSDT,VETUSDT,THETAUSDT,SRMUSDT,ETCUSDT,EGLDUSDT,SUSHIUSDT,UNIUSDT,CHZUSDT,CRVUSDT,BCHUSDT,AAVEUSDT,KAVAUSDT,IOTAUSDT,RUNEUSDT,FETUSDT,XLMUSDT,GRTUSDT,NEOUSDT,SANDUSDT,1INCHUSDT,XMRUSDT,DASHUSDT,ZECUSDT,ZILUSDT,SNXUSDT,WAVESUSDT,COMPUSDT,MANAUSDT,YFIUSDT,ENJUSDT"
2021-10-31,59,52,"BTCUSDT,ETHUSDT,SOLUSDT,DOTUSDT,XRPUSDT,FTMUSDT,DOGEUSDT,ADAUSDT,FILUSDT,AXSUSDT,LUNAUSDT,TRXUSDT,AVAXUSDT,MATICUSDT,LINKUSDT,ATOMUSDT,LTCUSDT,ONEUSDT,VETUSDT,EOSUSDT,THETAUSDT,NEARUSDT,FTTUSDT,ALGOUSDT,ETCUSDT,XLMUSDT,KAVAUSDT,XTZUSDT,UNIUSDT,CHZUSDT,BCHUSDT,CRVUSDT,EGLDUSDT,SUSHIUSDT,1INCHUSDT,FETUSDT,GRTUSDT,HBARUSDT,SRMUSDT,RUNEUSDT,IOTAUSDT,ZECUSDT,AAVEUSDT,XMRUSDT,COMPUSDT,DASHUSDT,ZILUSDT,ENJUSDT,NEOUSDT,SANDUSDT,SNXUSDT,WAVESUSDT"
2021-11-30,62,50,"BTCUSDT,ETHUSDT,SANDUSDT,SOLUSDT,TRXUSDT,DOTUSDT,AVAXUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,FTMUSDT,FILUSDT,LTCUSDT,CHZUSDT,LUNAUSDT,MATICUSDT,LINKUSDT,VETUSDT,AXSUSDT,ENJUSDT,ZECUSDT,THETAUSDT,EGLDUSDT,ONEUSDT,ATOMUSDT,ALGOUSDT,EOSUSDT,CRVUSDT,NEARUSDT,ETCUSDT,GRTUSDT,BCHUSDT,FTTUSDT,XLMUSDT,SUSHIUSDT,RUNEUSDT,UNIUSDT,AAVEUSDT,DASHUSDT,1INCHUSDT,XTZUSDT,KAVAUSDT,HBARUSDT,IOTAUSDT,FETUSDT,XMRUSDT,SRMUSDT,ZILUSDT,COMPUSDT,NEOUSDT"
2021-12-31,62,51,"BTCUSDT,ETHUSDT,LUNAUSDT,MATICUSDT,SANDUSDT,SOLUSDT,SHIBUSDT,AVAXUSDT,XRPUSDT,DOTUSDT,ADAUSDT,MANAUSDT,DOGEUSDT,FTMUSDT,NEARUSDT,TRXUSDT,FILUSDT,LINKUSDT,LTCUSDT,CRVUSDT,ATOMUSDT,EGLDUSDT,VETUSDT,EOSUSDT,ICPUSDT,AXSUSDT,SUSHIUSDT,THETAUSDT,ONEUSDT,ALGOUSDT,ZECUSDT,ENJUSDT,CHZUSDT,UNIUSDT,GRTUSDT,XLMUSDT,XTZUSDT,BATUSDT,KAVAUSDT,ETCUSDT,BCHUSDT,AAVEUSDT,1INCHUSDT,RUNEUSDT,IOTAUSDT,FTTUSDT,XMRUSDT,HBARUSDT,MASKUSDT,DASHUSDT,FETUSDT"
2022-01-31,62,51,"BTCUSDT,ETHUSDT,FTMUSDT,LUNAUSDT,ATOMUSDT,SOLUSDT,SANDUSDT,NEARUSDT,DOTUSDT,ADAUSDT,MATICUSDT,XRPUSDT,SHIBUSDT,LINKUSDT,AVAXUSDT,DOGEUSDT,ONEUSDT,TRXUSDT,CRVUSDT,ICPUSDT,MANAUSDT,FILUSDT,LTCUSDT,AXSUSDT,THETAUSDT,VETUSDT,ALGOUSDT,SUSHIUSDT,FTTUSDT,EGLDUSDT,KAVAUSDT,EOSUSDT,AAVEUSDT,ENJUSDT,ETCUSDT,YFIUSDT,ZECUSDT,UNIUSDT,CHZUSDT,GRTUSDT,XLMUSDT,RUNEUSDT,BCHUSDT,XMRUSDT,1INCHUSDT,XTZUSDT,IOTAUSDT,BATUSDT,DASHUSDT,HBARUSDT,MASKUSDT"
2022-02-28,62,50,"BTCUSDT,ETHUSDT,XRPUSDT,LUNAUSDT,SHIBUSDT,SOLUSDT,AVAXUSDT,SANDUSDT,FTMUSDT,DOTUSDT,ADAUSDT,MANAUSDT,MATICUSDT,ATOMUSDT,TRXUSDT,DOGEUSDT,LINKUSDT,NEARUSDT,FILUSDT,AXSUSDT,LTCUSDT,ICPUSDT,THETAUSDT,ONEUSDT,CRVUSDT,ETCUSDT,VETUSDT,EGLDUSDT,ALGOUSDT,EOSUSDT,ENJUSDT,KAVAUSDT,ZECUSDT,FTTUSDT,BCHUSDT,XTZUSDT,SUSHIUSDT,CHZUSDT,UNIUSDT,XLMUSDT,GRTUSDT,AAVEUSDT,XMRUSDT,HBARUSDT,RUNEUSDT,DASHUSDT,1INCHUSDT,YFIUSDT,BATUSDT,IOTAUSDT"
2022-03-31,63,51,"BTCUSDT,ETHUSDT,LUNAUSDT,XRPUSDT,SOLUSDT,AVAXUSDT,FTMUSDT,SHIBUSDT,DOTUSDT,NEARUSDT,ADAUSDT,RUNEUSDT,ATOMUSDT,SANDUSDT,WAVESUSDT,TRXUSDT,MATICUSDT,LINKUSDT,DOGEUSDT,MANAUSDT,LTCUSDT,VETUSDT,EGLDUSDT,ETCUSDT,ICPUSDT,AXSUSDT,ZECUSDT,FILUSDT,CHZUSDT,EOSUSDT,GRTUSDT,AAVEUSDT,ONEUSDT,ALGOUSDT,THETAUSDT,CRVUSDT,UNIUSDT,BCHUSDT,SUSHIUSDT,XMRUSDT,DASHUSDT,XLMUSDT,FTTUSDT,ENJUSDT,BATUSDT,XTZUSDT,NEOUSDT,HBARUSDT,1INCHUSDT,KAVAUSDT,YFIUSDT"
