,mean_diff,studentized,p_lower,p_consistent,p_upper
dynamic::Dynamic_lam0.96_single,-6.370167411051636e-05,-0.9533777354151526,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.96_average,-0.00013228356186601332,-1.7964082293460983,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.96_ward,-0.00011232612018572412,-1.560760283213878,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.97_single,-8.314789525686415e-05,-1.1037837737882188,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.97_average,-7.049810300969016e-05,-1.0686043770970324,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.97_ward,-0.00011908790177804054,-1.9728327771365086,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.98_single,-6.870417786039929e-05,-0.9479804404575078,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.98_average,-3.288961295087483e-05,-0.48817714721974137,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.98_ward,-0.00012746028697291172,-2.0704499246758203,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.99_single,-1.2352460520449118e-05,-0.2848082488269121,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.99_average,-1.2285978176447582e-05,-0.2723565813612253,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.99_ward,-0.00013008413744554806,-2.366120598918835,0.8144,0.5828,0.7716
encoders_ext::ContrastiveX_ret+full6_single,-0.00010009179826109781,-1.4599488483354677,0.8144,0.5828,0.7716
encoders_ext::ContrastiveX_ret+full6_average,-7.067117281310038e-05,-1.1289644697425867,0.8144,0.5828,0.7716
encoders_ext::ContrastiveX_ret+full6_complete,-2.39627410360705e-05,-0.3512746993583337,0.8144,0.5828,0.7716
encoders_ext::TS2VecX_ret+full6_single,-5.36905915309356e-05,-0.9477372400469357,0.8144,0.5828,0.7716
encoders_ext::TS2VecX_ret+full6_average,-5.0609157246768066e-05,-0.7969120930476612,0.8144,0.5828,0.7716
encoders_ext::TS2VecX_ret+full6_complete,-2.0853773878537893e-05,-0.34187717133562356,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret_single,-1.9581303844054898e-05,-0.3777355057397378,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret_average,-8.220601046552267e-05,-1.1565641264743924,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret_complete,-0.0001155874897879751,-1.3787886260200723,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret+vol_single,-9.664756543689751e-05,-1.4954061354272605,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret+vol_average,-7.270209657694876e-05,-0.9472482437658182,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret+vol_complete,-2.995774995421525e-05,-0.4904630400440848,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret+vol+ntr_single,-8.879506478170473e-05,-1.3522187294942223,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret+vol+ntr_average,-5.860138315677586e-06,-0.10239554557863176,0.8144,0.5828,0.7716
encoders_mc::ContrastiveMC_ret+vol+ntr_complete,-2.3768807459279307e-05,-0.3820931681032848,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret_single,-8.137309456571845e-05,-1.3956164390561985,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret_average,-7.067253697583099e-05,-1.0459463871267312,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret_complete,-0.0001552869494272411,-1.9407822976206228,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret+vol_single,-3.287883114760259e-05,-0.4675541335632436,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret+vol_average,-6.20593181457653e-05,-0.9013035429991889,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret+vol_complete,-7.660198925982836e-05,-1.142279520116078,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret+vol+ntr_single,-2.6212265487857876e-05,-0.4636655653748798,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret+vol+ntr_average,-1.9205832269969945e-05,-0.32840303974512924,0.8144,0.5828,0.7716
encoders_mc::TS2VecMC_ret+vol+ntr_complete,-8.722110029792906e-05,-1.4176827100262623,0.8144,0.5828,0.7716
nodeembed::NE_d16_k5_absolute_corr_single,-6.497274029783337e-05,-0.9925908948098283,0.8144,0.5828,0.7716
nodeembed::NE_d16_k5_absolute_corr_average,-1.915522510478811e-05,-0.29401819749453495,0.8144,0.5828,0.7716
nodeembed::NE_d16_k5_signed_shift _single,-0.00013248940140061954,-1.7310771601215924,0.8144,0.5828,0.7716
nodeembed::NE_d16_k5_signed_shift _average,-0.00011012069690914875,-1.2276556863920052,0.8144,0.5828,0.7716
nodeembed::NE_d16_k5_distance     _single,-9.512649096633734e-05,-1.2731574448255238,0.8144,0.5828,0.7716
nodeembed::NE_d16_k5_distance     _average,-5.949645214865285e-05,-0.8891305129204534,0.8144,0.5828,0.7716
nodeembed::NE_d16_k10_absolute_corr_single,2.209430984054113e-05,0.3030496159633953,0.8144,0.5828,0.7716
nodeembed::NE_d16_k10_absolute_corr_average,-0.00011011460889049167,-1.5748694295197894,0.8144,0.5828,0.7716
